Original Title,Similarity String Title,Similarity,Cleaned Title
"Red Axes, Moscoman, Krikor  - Subaru Pesha (Red Axes Remix)",Krikor Moscoman Subaru Pesha Red Axes Remix,0.8607594936708861,Red Axes Moscoman Krikor Subaru Pesha Red Axes Remix
MP Productions (Mark Pritchard) - Be Like Water,Mark Pritchard Be Like Water,0.4782608695652174,MP Productions Be Like Water
Paolo Mojo - Motor Strings (Jamie Anderson Remix),Paolo Mojo Motor Strings Jamie Anderson Remix,1,Paolo Mojo Motor Strings Jamie Anderson Remix
"Charli XCX - I Got It (feat. Brooke Candy, CupcakKe and Pabllo Vittar) [Official Audio]",cupcakKe Charli XCX I Got It Brooke Candy CupcakKe and Pabllo Vittar,0.9230769230769231,Charli XCX I Got It Brooke Candy CupcakKe and Pabllo Vittar
Coco Bryce - Wish We Didn't,Coco Bryce Wish We Didn't,1,Coco Bryce Wish We Didn't
Large Professor - The Mad Scientist,Large Professor Mad Scientist,0.9056603773584906,Large Professor The Mad Scientist
Paolo Mojo - 1983 (Eric Prydz Remix),Paolo Mojo 1983 Eric Prydz Remix,1,Paolo Mojo 1983 Eric Prydz Remix
Shadow Boxing (Om Unit Remix VIP),Nasty Habits Shadow Boxing Om Unit Remix VIP,0.819672131147541,Shadow Boxing Om Unit Remix VIP
"The Field - I have the moon, you have the internet [Track 1]",The Field I Have The Moon You Have The Internet,1,The Field I have the moon you have the internet
Coco Bryce - U I Luv,Coco Bryce U I Luv,1,Coco Bryce U I Luv
Four Tet - For These Times (FULL),Four Tet For These Times Original Mix,0.7755102040816326,Four Tet For These Times
Special Request - Vortex 164 (Sully Remix) [HTH119],Special Request Vortex 164 Sully Remix,1,Special Request Vortex 164 Sully Remix
Talaboman - Sideral (Matt Karmil Remix),Talaboman Sideral John Talabot Axel Boman Matt Karmil Remix,0.725,Talaboman Sideral Matt Karmil Remix
Kedr Livanskiy – Sky Kisses на танцполе,Kedr Livanskiy Sky Kisses,0.7547169811320755,Kedr Livanskiy – Sky Kisses на танцполе
Mr. Ho + Mogwaa - Bail-E,Mogwaa Mr Ho Bail E,0.8571428571428571,Mr Ho Mogwaa Bail E
M.I.K.E. - Sunrise at Palamos (Original Mix),M I K E Sunrise At Palamos Original Mix,1,M I K E Sunrise at Palamos Original Mix
Johannes Volk - A Planet In The Pocket [DOLLY30],Johannes Volk A Planet in the Pocket,1,Johannes Volk A Planet In The Pocket
Stir the Pot Freestyle Pt. 9 Piece (Still Stirrin'),Jamal Gasol Stir the Pot Freestyle Pt 9 Piece,0.8387096774193549,Stir the Pot Freestyle Pt 9 Piece
Martin Glass - The Pacific Visions Of Martin Glass (full album),Martin Glass Fugue Pacific,0.5483870967741935,Martin Glass The Pacific Visions Of Martin Glass
Bosq: Up & Down (NYC 91 Mix) feat. Kale,Kaleta Bosq Up Down NYC 91 Mix,0.8444444444444444,Bosq: Up Down NYC 91 Mix Kale
Nathan Fake - The Sky Was Pink (James Holden remix),Monoblok OHLF The Sky Was Pink James Holden Remix,0.717948717948718,Nathan Fake The Sky Was Pink James Holden remix
GUTS - And the living is easy,Guts And The Living Is Easy,1,GUTS And the living is easy
BOSQ: Can't Seem To Hide feat. Megan Doherty,Megan Doherty Bosq Can't Seem to Hide,0.9180327868852459,BOSQ: Can't Seem To Hide Megan Doherty
Gemma Dunleavy - Up De Flats,Gemma Dunleavy Up De Flats,1,Gemma Dunleavy Up De Flats
RÜFÜS DU SOL ●● Eyes [Official Audio Visual],RÜFÜS DU SOL Eyes,0.8571428571428571,RÜFÜS DU SOL ●● Eyes
Sunscreem - Perfect Motion (Boy's Own mix),Sunscreem Perfect Motion Boys Own Mix,0.9523809523809523,Sunscreem Perfect Motion Boy's Own mix
Mango X MathMan - Chest Out (Bon Voyage’s Tea Time Remix),Mango X MathMan Chest out Bon Voyage's Tea Time Remix,0.9647058823529412,Mango X MathMan Chest Out Bon Voyage s Tea Time Remix
Zig & Zag - Them Girls Them Girls,Ameritz Karaoke Them Girls Them Girls Karaoke Version,0.5,Zig Zag Them Girls Them Girls
Talkin' Loud And Sayin' Nothing (Complete Version),The Original J B s James Brown Talkin' Loud And Sayin' Nothing Complete Version,0.7735849056603774,Talkin' Loud And Sayin' Nothing Complete Version
Dart - Move Faster - Brame & Hamo Remix,Dart Move Faster Brame Hamo Remix,1,Dart Move Faster Brame Hamo Remix
DRUM AND BASS - REGGAE MiX {VOL.2} (by faXcooL),Bo Biz Bad Man Bass Reggae Dubstep Mix,0.5306122448979592,DRUM AND BASS REGGAE MiX
Mike Grant - The Struggle of my People (Mr G's There's Hope Mix),Mike Grant The Struggle of My People Mr G's There's Hope Mix,1,Mike Grant The Struggle of my People Mr G's There's Hope Mix
Mildlife - The Magnificent Moon (Tornado Wallace Remix),Mildlife The Magnificent Moon Tornado Wallace Remix,1,Mildlife The Magnificent Moon Tornado Wallace Remix
Yves Deruyter - Born Slippy (Original Mix),Yves Deruyter Born Slippy Original Mix,1,Yves Deruyter Born Slippy Original Mix
William DeVaughn - Be Thankful For What You Got,William DeVaughn Be Thankful for What You Got,1,William DeVaughn Be Thankful For What You Got
Fast Eddie ft. Sundance - Git On Up (DJ International Records 1989),Sundance Git On Up The Fast Eddie Mix,0.8461538461538461,Fast Eddie Sundance Git On Up
Renegade Master (Fatboy Slim Old Skool Mix) - Wildchild,Wildchild Renegade Master Fatboy Slim Old Skool Mix,0.9767441860465116,Renegade Master Fatboy Slim Old Skool Mix Wildchild
Dax J - Escape The System [ARTS COLLECTIVE004],Dax J Escape The System,1,Dax J Escape The System
dj assault - Sex On The Beach,DJ Assault Sex On The Beach,1,dj assault Sex On The Beach
Colours - Hold On (SE22 Mix),June Hamm Stephen Emmanuel Presents Colours Hold On SE22 Mix,0.5507246376811594,Colours Hold On SE22 Mix
Mano Le Tough - Primative People (Tale Of Us Remix),Mano Le Tough Primative People Tale Of Us Remix,1,Mano Le Tough Primative People Tale Of Us Remix
Smerz - I don’t talk about that much / Hva hvis,Smerz I don't talk about that much,0.819672131147541,Smerz I don t talk about that much / Hva hvis
AC13 - Tell No Soul (Skantia Remix),King DeepField AC13 Tell No Soul Skantia Remix,0.7936507936507936,AC13 Tell No Soul Skantia Remix
Golden Dawn Arkestra - Children Of The Sun (Austin Ato Remix),Golden Dawn Arkestra Children Of The Sun Austin Ato Remix Edit,0.9591836734693877,Golden Dawn Arkestra Children Of The Sun Austin Ato Remix
Kanye West - All of the Lights,Kanye West All Of The Lights,1,Kanye West All of the Lights
Kanye West - Runaway (Video Version) ft. Pusha T,Pusha T Kanye West Runaway,0.9523809523809523,Kanye West Runaway Pusha T
For Those I Love - I Have a Love (Live on Later),For Those I Love I Have a Love,1,For Those I Love I Have a Love
Glow - I Ain't Gonna Wait (1993),Cory Morrow Gettin' Ready to Rain,0.17777777777777778,Glow I Ain't Gonna Wait
TOPS - Colder & Closer (Patrick Holland Remix),TOPS Colder Closer Patrick Holland Remix,1,TOPS Colder Closer Patrick Holland Remix
808 State Of Mind (feat. Shaun J. Wright & Alinka),Honey Dijon 808 State Of Mind Shaun J Wright Alinka,0.8611111111111112,808 State Of Mind Shaun J Wright Alinka
L Ʌ V Σ N - Entanglement [CR013],L Ʌ V Σ N Entanglement,1,L Ʌ V Σ N Entanglement
M Beat feat General Levy Incredible,General Levy M Beat Incredible,0.92,M Beat General Levy Incredible
Chase and Status - Take Me Away (HD),Chase Status Take Me Away,0.8837209302325582,Chase and Status Take Me Away
